PlaceID,Rating,Text,Timestamp
ChIJZdCEnuy3e0gRhuS7Kh7C2Ag,5,"Assalamu alaikum,

Dear volunteers and team at EIC. I just wanted to express my written gratitude to each of you including our dear Imam Muhammad, Shaykh Fahim, Shaykh Muhammad Saleh, Ustadh Nouman and every single volunteer who made this Ramadan a tremendously smooth spiritually uplifting month full of khayr.

May Allah swt allow it to weigh heavy on your scale of good deeds and a means by which we all attain maghfirah and jannatul firdaus through His Mercy.

From the beautiful Quran recitation, to the class from Ustadh Nouman at the end, the delicious iftaars, the organised car parking, the well maintained cleanliness of the bathrooms, the openness to families especially younger children, the crèche facilities upstairs and everything in between. Firstly, we thank Allah (swt) and secondly each of you including those behind the scenes who many may not see but Allah (swt) knows about.

JazakumAllah khayr",2024-04-15T22:44:27Z
ChIJZdCEnuy3e0gRhuS7Kh7C2Ag,5,Probably the only diverse masjid that caters for all...plenty activities and awesome community,2023-07-09T09:53:14Z
ChIJZdCEnuy3e0gRhuS7Kh7C2Ag,4,"The prayers area is larage enough
There are many varietes of community activites for men,women and youth
Clean toilets and wadou areas",2024-04-06T23:30:41Z
ChIJ_wiMrMSze0gRU9A9u6akiZ0,5,Prayed Juma several times. Two juma prayers in about 1 hour apart which is very flexible. The time of the prayer changes and you check that by searching Madina Mosque levenshulme prayer time. The food stall outside the mosque after Juma prayer are real tasty amd very good quality.,2023-02-03T15:00:48Z
ChIJG1xw3sKxe0gRbbRKFrlIS7c,5,"Peaceful atmosphere for prayers and worship.
Locals are welcoming and warm.",2023-01-18T18:43:58Z
ChIJG1xw3sKxe0gRbbRKFrlIS7c,5,"Nicely maintained Masjid being very effectively managed by an efficient and very active Masjid Committee of the worshippers who come, pray and bow before Allah, The Mightiest of all, 5 times a day... May Allah SWT reward all of you for the sacred cause..
Well done all.",2024-05-15T07:41:43Z
ChIJG1xw3sKxe0gRbbRKFrlIS7c,5,"Use the back door to enter the masjid in the gated parking.

Very warm and clean mosque.",2022-05-22T13:21:27Z
ChIJ_5j3dYGxe0gRDBJ1aRJRT08,5,Descent and humble place for prayer and I know they have good teaching for holy quran,2022-10-15T12:59:14Z
ChIJ_5j3dYGxe0gRDBJ1aRJRT08,5,"Beautiful and peaceful place of worship. Congregation from all ethnicities,all praying to the One God. May He accept our sincere worship.Ameen.",2023-10-25T14:58:13Z
ChIJyRU5urixe0gRNHEcesA38g4,5,"Jazakum Allah Khair.

Very clean and spacious prayer space. There is a designated area for sisters too.",2023-09-23T13:02:51Z
ChIJyRU5urixe0gRNHEcesA38g4,5,"I experienced Salah and heard adzan there. The place is clean and organized. For females, the Salah place is separated and safe.",2022-11-24T17:26:43Z
